Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
DC.A,Dundee Corporation Class A,0.0519503659650175,CAD,1.411,CAD,1.2847,CAD,-0.122343568353468,CAD,,,1.147706434964315,CAD,1.1548380708310217,CAD,4.68608,CAD,0.07846828368275931,CAD,0.4975609450275754,CAD
PZA,Pizza Pizza Royalty Corp.,1.21585120017672,CAD,0.9397,CAD,0.9397,CAD,0.940858296864493,CAD,0.9408582968644932,CAD,1.1907564487514806,CAD,1.1907564487514806,CAD,9.05888,CAD,1.4005689582781917,CAD,0.11995710926212796,CAD
PTM,Platinum Group Metals Ltd.,0,CAD,-0.0573,CAD,-0.0573,CAD,-0.0521522184269446,CAD,-0.052152252459817465,CAD,-0.06176666959435557,CAD,-0.06094129697288115,CAD,0.52843,CAD,0.0021980806963355273,CAD,0.22337089274025043,CAD
GOT,Goliath Resources Limited,0,CAD,-0.1769,CAD,-0.1769,CAD,-0.246020913481146,CAD,-0.24602093798840868,CAD,-0.29578115862141524,CAD,-0.29525596797650655,CAD,0.16365,CAD,0,CAD,0.17840307133351693,CAD
QBTC,Bitcoin Fund Trust Units A,23.1153110167001,CAD,64.4187,CAD,64.4187,CAD,-2.85569050767946,CAD,,,65.0052672364373,CAD,65.0052672364373,CAD,147.63315,CAD,,,,
SBC,Brompton Split Banc Corp. Class A,1.02709014396464,CAD,5.0732,CAD,5.0732,CAD,0.0782810365581718,CAD,,,5.6542238895527115,CAD,5.6542238895527115,CAD,11.67273,CAD,,,,
LA,Los Andes Copper Ltd.,0,CAD,-0.1493,CAD,-0.1493,CAD,-0.0883627626219391,CAD,-0.2452465912139178,CAD,-0.09809450751577418,CAD,-0.09291332730593994,CAD,2.73287,CAD,0.5676382448466902,CAD,0.7713805332341116,CAD
EDT,Spectral Medical Inc,0.00942619026787009,CAD,-0.1456,CAD,-0.1456,CAD,-0.038460947129938,CAD,-0.03845746240155799,CAD,-0.04131493967314893,CAD,-0.04045769649167164,CAD,-0.23748,CAD,0.07217569420633102,CAD,0.020532019614894863,CAD
WGO,White Gold Corp.,0,CAD,-0.0126,CAD,-0.0126,CAD,-0.01215313910298,CAD,-0.012153139102980007,CAD,-0.012302261098166747,CAD,-0.012293661797223144,CAD,0.61337,CAD,0,CAD,0.0035390827706389193,CAD
GRA,"NanoXplore, Inc.",0.635980580157686,CAD,-0.0674,CAD,-0.0674,CAD,-0.0332630600873208,CAD,-0.12441542900688388,CAD,-0.06635531512954725,CAD,0.0003572911061745574,CAD,0.6462,CAD,0.2484812444229469,CAD,0.16942486276792584,CAD
TSK,Talisker Resources Ltd.,0.0377741161041973,CAD,-0.1591,CAD,-0.1591,CAD,-0.124379029864476,CAD,-0.20226672910342447,CAD,-0.08583465988820914,CAD,-0.07564378765040582,CAD,0.05729,CAD,0.048554997143101436,CAD,0.1150897223217582,CAD
KSI,"kneat.com, Inc.",0.630270005833456,CAD,-0.0135,CAD,-0.0135,CAD,0.149227581600964,CAD,0.1466270194633664,CAD,-0.0876078348640679,CAD,0.04634975776435341,CAD,0.69474,CAD,0.3151550626762169,CAD,0.6286166068146265,CAD
SIG,Sitka Gold Corp.,0,CAD,-0.0151,CAD,-0.0151,CAD,-0.00845674009184826,CAD,-0.008456745328255499,CAD,-0.015761742884110055,CAD,-0.015761742884110055,CAD,0.16522,CAD,0,CAD,0.04183268084906375,CAD
