Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
NCX,NorthIsle Copper and Gold Inc.,Neutral,Sell,Neutral,43.6220091424306,-0.23999999999999977,-0.2410882352941166,-110.00377500943716,26.041666666666686,32.46527777777782,
CUP.U,Caribbean Utilities Co. Ltd. Class A,Strong buy,Strong buy,Buy,55.19675040883429,-0.009999999999999787,-0.0998529411764455,63.370637956292,59.16666666666671,44.537037037037145,Marubozu White
MRE,Martinrea International Inc.,Buy,Strong buy,Neutral,63.097751945424186,1.08,0.5845441176470629,117.31187503039749,88.7573964497041,91.19062877859284,
SGY,Surge Energy Inc.,Strong buy,Strong buy,Buy,60.94567107223778,0.5999999999999996,0.48933823529410514,119.13378137744691,90.91710758377423,78.89770723104054,"Hanging Man, Long Lower Shadow"
MNO,Meridian Mining PLC,Strong buy,Strong buy,Buy,63.134126523684216,0.22999999999999998,0.1313676470588241,223.5206507418226,92.15249266862169,80.24307592049526,
GSKR,Goldsky Resources Corp.,Buy,Strong buy,Neutral,70.99886847921375,0.4200000000000004,0.6366029411764709,60.829947050855964,62.088789524113714,48.30839292335605,
JAG,Jaguar Mining Inc.,Strong buy,Strong buy,Buy,57.84633551166717,1.5500000000000007,-0.08798529411765266,68.11417113137206,78.5827675887459,58.07447938362924,
NICU,Magna Mining Inc,Sell,Sell,Neutral,44.177143212822365,0.10000000000000009,-0.4051323529411768,-67.36864162606729,13.168586853676182,9.100628182060731,
FTN,Financial 15 Split Corp. Class A,Sell,Sell,Neutral,49.07350361603332,0.3699999999999992,-0.1271176470588138,-47.413793103447254,71.6587210258097,69.368184558058,
VBNK,VersaBank,Strong buy,Strong buy,Buy,64.56350585378836,1.0300000000000011,0.8516470588235201,115.8557625948926,73.21903543945187,67.92820635787585,"Hanging Man, Long Lower Shadow"
OBE,Obsidian Energy Ltd,Strong buy,Strong buy,Buy,62.094216460313824,1.08,0.8112499999999958,129.71271888826533,75.9538152610442,66.08601070950472,
FWZ,Fireweed Metals Corp.,Buy,Buy,Neutral,51.186199325274785,0.10000000000000009,0.20667647058823313,-12.853213303324486,41.66666666666666,44.77124183006534,"Long Upper Shadow, Shooting Star"
HSTR,Heliostar Metals Ltd,Buy,Strong buy,Neutral,51.00365239425335,0.1499999999999999,-0.16888235294117582,-24.87864077669874,44.63174064192739,27.6291749909052,
AUXX,Gold X2 Mining Inc.,Strong buy,Strong buy,Buy,72.75571420678838,0.3999999999999999,0.31322058823527965,154.15657788539136,91.73964131106989,81.07014698389365,
DLCG,"Dominion Lending Centres, Inc. (Canada) Class A",Neutral,Sell,Buy,49.8247212888574,0.08000000000000007,-0.24926470588237315,-4.5761078998058835,58.94736842105272,50.186753948254754,
VREO,Vireo Growth Inc,Strong sell,Strong sell,Neutral,43.10018245271243,-0.039999999999999925,-0.06908823529411845,-86.37110016420502,17.948717948717945,19.055759055759037,Hammer
BK,Canadian Banc Corp Class A,Strong buy,Strong buy,Buy,56.86212949210651,0.8499999999999996,-0.15488235294120045,51.182327317981446,82.74464831804285,67.46309887869523,
FEC,Frontera Energy Corporation,Strong buy,Strong buy,Neutral,81.96017245962061,0.05000000000000071,2.152529411764699,49.91646564258945,81.08417467706505,86.80477466766082,
QRC,Queen's Road Capital Investment Ltd.,Buy,Strong buy,Sell,59.86985194367665,-0.040000000000000924,0.32183823529411804,51.70028633014449,38.095238095238095,30.999066293183976,
DIV,Diversified Royalty Corp.,Buy,Strong buy,Neutral,75.6978428200245,0.17000000000000037,0.16154411764706555,116.70088980150472,93.95943562610222,92.9673721340388,
HIVE,HIVE Digital Technologies Ltd,Sell,Strong sell,Neutral,35.38470521134151,0.1499999999999999,-0.9131323529411821,-69.48462445087283,18.326100603182386,14.75411710175572,Spinning Top Black
BAMI,Blue Ant Media Corporation,Sell,Strong sell,Buy,41.22681134399033,0.28000000000000025,-1.0529705882352935,-47.331488160138626,13.765642775881693,11.67993932499052,
ARA,"Aclara Resources, Inc.",Neutral,Sell,Neutral,44.29262354975395,-0.2799999999999998,-0.3632352941176449,-90.22790162609216,18.927064496684768,15.813145484878788,
CGO,Cogeco Inc.,Buy,Strong buy,Neutral,58.0526132191605,1.7600000000000051,2.537249999999986,47.827396521930446,78.38838196259445,86.49300732763045,"Hanging Man, Long Lower Shadow"
RML,Rusoro Mining Ltd.,Sell,Sell,Neutral,45.40011810289763,0.030000000000000027,-0.10067647058823503,-40.93075413512723,23.60426929392449,17.94289363254884,
MHC.U,Flagship Communities Real Estate Investment Trust,Neutral,Neutral,Sell,49.86851575489154,-0.8999999999999986,0.015794117647082828,-46.16636160260046,20.333333333333435,17.888888888888967,
LGD,Liberty Gold Corp,Buy,Strong buy,Neutral,59.47391499878898,0.19000000000000017,0.21816176470588244,52.487522138142225,62.89055973266502,63.92648287385128,Doji
IFP,Interfor Corporation,Sell,Sell,Neutral,46.39244601692781,-0.7099999999999991,0.5064264705882806,-82.3315118397087,23.56589147286823,33.95348837209304,
EU,enCore Energy Corp.,Sell,Strong sell,Neutral,43.459750546976316,0.06000000000000005,-0.5399852941176486,-66.8835864063632,20.659355442929243,13.442389522208238,Doji
DCBO,"Docebo, Inc.",Sell,Strong sell,Neutral,34.07145004953617,-2.6400000000000006,-2.6276029411764448,-167.13656550020343,18.634407201217858,19.315333079746903,Long Upper Shadow
WJX,Wajax Corporation,Strong buy,Strong buy,Buy,72.70118501759464,1.9499999999999993,1.3664852941176093,175.15064811202726,97.56478023267364,96.95836617410187,
HOM.U,BSR Real Estate Investment Trust,Sell,Strong sell,Neutral,46.929262697613126,-0.28000000000000114,0.011176470588269538,-81.12740430392273,22.82291057860903,27.699850639651995,
SNM,ShaMaran Petroleum Corp.,Sell,Strong sell,Neutral,40.76058433434645,-0.009999999999999981,-0.003830882352941156,-55.10283275126573,40.00000000000005,39.259259259259274,"Gravestone Doji, Long Upper Shadow"
ACQ,AutoCanada Inc.,Buy,Buy,Neutral,53.306981829872896,-0.9400000000000013,0.6466911764706005,-9.121016011910388,51.82539682539683,44.86772486772488,
NOA,North American Construction Group Ltd.,Buy,Strong buy,Sell,65.39680405299913,1.5799999999999983,1.0341764705882532,116.48444070647372,90.81698754702558,90.78810792547795,
MI.UN,Minto Apartment Real Estate Investment Trust,Buy,Strong buy,Neutral,74.5756881908582,0.10999999999999943,0.06083823529412413,103.07414104882453,86.95652173913085,88.88888888888926,
ESI,Ensign Energy Services Inc.,Buy,Strong buy,Neutral,57.54226571573938,0.3599999999999999,0.5158970588235325,76.59660468876498,76.31578947368422,82.14003477161371,Marubozu Black
TOT,Total Energy Services Inc.,Strong buy,Strong buy,Buy,58.35575477836704,0.9800000000000004,0.9974852941176451,83.82357828962708,78.94736842105262,81.57500492805046,Bearish Engulfing
ZDC,Zedcor Inc,Neutral,Buy,Neutral,50.261542747138456,-0.010000000000000675,0.08580882352940922,15.748031496061838,52.63480392156857,47.743055555555486,
GUD,"Knight Therapeutics, Inc.",Buy,Strong buy,Neutral,68.64096737648524,0.6000000000000005,0.4300000000000095,154.26132452153982,91.76954732510295,95.35859795671853,
LBS,Life & Banc Split Corp A 2006-29.11.18 Ext to 30.10.23 Further Ext to 30.10.28,Strong buy,Strong buy,Buy,59.72420113566797,0.41000000000000014,0.09900000000000375,165.59139784945484,84.84848484848489,84.27220927220934,Marubozu White
GRZ,Gold Reserve Ltd.,Buy,Strong buy,Neutral,62.833496487206105,1,-0.08327941176470599,53.12636641888966,86.5237975532093,79.2698033629406,
FSZ,Fiera Capital Corporation Class A,Neutral,Sell,Buy,49.392652626973344,0.16999999999999993,-0.16317647058819063,-11.20003845506944,47.51773049645393,43.39957775502206,Marubozu White
MAI,Minera Alamos Inc.,Buy,Strong buy,Neutral,54.143589040794566,0.4400000000000004,-0.29805882352940927,-16.59850278634675,38.713282247765,22.017901377424618,Marubozu White
APR.UN,Automotive Properties Real Estate Investment Trust,Strong buy,Strong buy,Neutral,62.12102703783424,0.14000000000000057,0.06444117647066427,185.77235772359046,64.58663287931589,58.606975680146455,
AMX,Amex Exploration Inc.,Buy,Buy,Neutral,48.52124994867939,0.23000000000000043,-0.29982352941176593,-39.53279424977533,36.488095238095234,29.609788359788325,
IFOS,Itafos Inc,Strong buy,Strong buy,Buy,59.22586028573966,0.27,0.09366176470588394,96.6666666666663,62.22222222222223,61.54882154882157,
CAD,Colonial Coal International Corp.,Buy,Strong buy,Buy,58.11987406997048,0.43000000000000016,0.4670441176470579,87.66828217555167,71.89814814814814,81.27704952143154,
CGX,Cineplex Inc.,Sell,Strong sell,Neutral,45.541705075794525,-0.08000000000000007,-0.28901470588236045,27.28518541244544,76.29411764705885,72.8823529411765,
WFC,Wall Financial Corporation,Strong buy,Strong buy,Buy,86.43598277891951,3,1.2613235294117686,268.4537684537698,94.57799145299145,94.72044159544161,Marubozu White
TF,Timbercreek Financial Corp.,Buy,Strong buy,Neutral,66.9614864091877,0.25,0.12630882352940453,211.37521222408665,95.98638441661693,94.51981585139868,
REG,Regulus Resources Inc,Buy,Strong buy,Neutral,54.06542229408849,0.25,-0.06235294117646717,-33.43106116133203,34.31224004753415,26.242515654280357,
VMET,Versamet Royalties Corp.,Sell,Strong sell,Neutral,43.97441195469089,0.5800000000000001,-0.9328970588235315,-57.97066679461976,65.64546564546568,55.175515175515194,
WEED,Canopy Growth Corporation,Buy,Buy,Buy,55.29010024525392,0.11999999999999988,-0.04051470588235406,114.61554318696906,86.76923076923079,72.03418803418808,
GLAS.A.U,Glass House Brands Inc,Sell,Strong sell,Sell,39.23223754109572,-1.1399999999999997,-1.0740294117647036,-105.22928733054974,21.60849847185251,16.327899920032426,
KITS,Kits Eyecare Ltd.,Sell,Sell,Neutral,39.67746958372367,-1.629999999999999,-1.178264705882352,-152.00095655933006,8.465258953858244,17.89556805843443,Spinning Top Black
EPRX,"Eupraxia Pharmaceuticals, Inc.",Buy,Strong buy,Neutral,54.11361948037333,0.14000000000000057,-0.335691176470581,4.606596646398951,49.31655793724759,42.8003003003003,
ETG,Entree Resources Ltd,Buy,Strong buy,Neutral,53.642829016517986,0.28000000000000025,0.03179411764706286,-1.840696117804571,71.96969696969695,60.37467700258396,Shooting Star
FFN,North American Financial 15 Split Corp A 2019-01.12.24,Buy,Strong buy,Neutral,50.86640161030356,0.2400000000000002,-0.19122058823529997,9.955752212388226,62.25749559082889,52.54262198706641,
DV,Dolly Varden Silver Corporation,Neutral,Neutral,Neutral,48.275229839185606,0.5699999999999994,-0.6020000000000136,-37.276722022484414,40.31995617262751,24.008170729063966,Spinning Top White
CL,"Cresco Labs, Inc.",Strong sell,Strong sell,Neutral,41.7582793324691,-0.06999999999999984,-0.18652941176470716,-61.85567010309227,38.55650522317189,36.90766815226089,Marubozu Black
SOIL,Saturn Oil & Gas Inc.,Buy,Strong buy,Neutral,57.15531718910152,0.08000000000000007,0.22580882352941156,32.04823100111288,40.51282051282055,33.129659938170654,Bearish Engulfing
DTOL,"D2L, Inc.",Sell,Strong sell,Buy,40.973695042406064,-0.17999999999999972,-1.481838235294127,-83.05752561071888,35.992208655993174,26.517353299340545,Marubozu White
SVRS,Silver Storm Mining Ltd.,Strong buy,Strong buy,Buy,61.32427335332131,0.18000000000000005,0.03542647058823478,104.65189673672909,39.71631205673757,24.72535113336113,Marubozu White
AI,Atrium Mortgage Investment Corp.,Buy,Strong buy,Neutral,62.616364292113495,0.3099999999999987,0.224852941176497,110.92592592591953,83.07692307692291,84.69075980886987,
ALDE,Aldebaran Resources Inc,Sell,Strong sell,Neutral,39.19870853782801,-0.020000000000000018,-0.4362205882352961,-71.04804968685856,11.702196382428971,11.773255813953527,Doji
CVO,"Coveo Solutions, Inc.",Sell,Strong sell,Buy,46.01570279397753,0.34999999999999964,-0.6738823529411739,-23.681980827539654,47.34760904973668,33.16607370662867,
NXR.UN,Nexus Industrial REIT,Buy,Strong buy,Neutral,52.012138926311316,0.23999999999999932,-0.11567647058823205,50.847457627120406,85.2620406968233,79.13913734822118,
BRC,Blackrock Silver Corp,Buy,Strong buy,Neutral,54.41687843906388,0.18000000000000016,-0.017779411764705877,-12.256267409470698,37.71929824561405,31.28654970760236,
TWC,TWC Enterprises Limited,Strong buy,Strong buy,Buy,56.642046218320395,0.6999999999999993,-1.062294117647113,57.5911562806455,42.6087264485055,22.426660337390246,
BLN,Blackline Safety Corp.,Buy,Strong buy,Neutral,60.86226112316574,0.79,-0.02386764705882438,231.23620309050494,90.51858635191972,77.37846654627165,
CFW,Calfrac Well Services Ltd.,Buy,Strong buy,Sell,69.18251522992225,0.5600000000000005,0.6207941176470513,92.04698632774841,77.46601941747569,74.14994606256744,
LIRC,Lithium Royalty Corp.,Strong buy,Strong buy,Neutral,55.31285719461773,0.4900000000000002,-0.08967647058824291,4.968715495028816,59.30367927761822,49.02130392673367,"Hanging Man, Long Lower Shadow"
CHR,Chorus Aviation Inc.,Strong buy,Strong buy,Buy,71.49648476771546,2.7099999999999973,0.7996323529412024,250.35416453681512,86.91499943913261,80.28382767204693,Marubozu White
AFN,Ag Growth International Inc.,Buy,Strong buy,Neutral,57.033941969249774,-0.129999999999999,-0.187632352941268,21.19988293824901,52.36907730673312,35.660847880299244,
MATR,Mattr Corp,Buy,Buy,Sell,57.5534507363664,-0.09999999999999964,0.563867647058828,47.72074032288448,72.49023829748012,73.28552897563037,
GSVR,Guanajuato Silver Company Ltd.,Buy,Strong buy,Neutral,52.04410881134291,0.050000000000000044,-0.12873529411764728,-40.226451594549054,33.47181274010544,16.283445551738247,
BRVO,Bravo Mining Corp.,Neutral,Neutral,Neutral,49.105883487713896,0.46999999999999975,-0.43007352941176347,-20.90298802158867,42.72486772486774,26.784101174345093,Spinning Top White
BSX,Belo Sun Mining Corp.,Strong buy,Strong buy,Buy,83.61740459724484,0.5599999999999999,0.2608529411764705,199.11079067531833,90.1815617838886,80.29981485513883,
CPKR,Canada Packers Inc.,Buy,Strong buy,Neutral,59.1019568487332,0.5399999999999991,1.1065147058823364,59.531432136465824,79.58328691560074,86.14733333731279,
TUD,Tudor Gold Corp.,Strong buy,Strong buy,Buy,57.7515386957219,0.21999999999999997,-0.013764705882354011,16.60668055818645,49.79313249667346,27.08895389489238,
BPF.UN,Boston Pizza Royalties Income Fund,Buy,Strong buy,Sell,72.56964429199121,1.1000000000000014,1.1123970588235288,150.88070233927647,92.70629133014448,95.44079860011381,
ERD,Erdene Resource Development Corporation,Sell,Sell,Neutral,48.475508931653714,0.8599999999999994,-0.5879705882353008,-36.502546689303806,49.864648701857995,39.27177444909619,
VHI,Vitalhub Corp.,Neutral,Sell,Buy,50.86659371722594,0.27999999999999936,-0.47616176470589444,8.501071416026612,53.807769161671196,38.076334780023366,
STGO,Steppe Gold Ltd.,Buy,Strong buy,Neutral,53.120416050937074,0.26,-0.07674999999999854,-5.0555635045548515,50.89730807577269,34.05893430818655,
VOXR,Vox Royalty Corp,Strong buy,Strong buy,Buy,57.454609259188075,1.25,0.16223529411764304,104.12054559737213,78.34707379134862,55.612974174490404,Hanging Man
BYN,Banyan Gold Corp.,Strong buy,Strong buy,Buy,61.787487326141964,0.27,-0.04242647058823601,95.97475563765032,68.17770232031693,45.41595925297114,
PBL,Pollard Banknote Limited,Sell,Strong sell,Neutral,40.78175614931518,-0.38000000000000256,-0.4414264705882047,-97.77777777777872,24.155963302752326,33.84199796126404,
MRD,Melcor Developments Ltd.,Buy,Strong buy,Sell,75.15614060335594,0.5100000000000016,0.6171176470588797,186.35014836797652,84.07407407407399,87.41328630217514,
SLVR,"Silver Tiger Metals, Inc.",Buy,Buy,Neutral,49.61846712743316,0.04999999999999993,-0.09136764705882372,-51.80698910972742,29.540300968872412,18.85405706003714,
ELVA,Electrovaya Inc.,Sell,Sell,Neutral,39.037011049873065,-0.7200000000000006,-2.1176029411764645,-99.02312766135077,14.38539989264622,14.081230989443497,
WRLG,West Red Lake Gold Mines Ltd,Buy,Strong buy,Neutral,51.033036765373346,0.10999999999999988,-0.03179411764705975,-35.34876397417766,43.29371816638365,32.81900196411325,
ACT,Aduro Clean Technologies Inc,Sell,Strong sell,Neutral,40.049254157945114,0.45000000000000107,-2.2246470588235248,-63.075203032121216,18.16401633247311,15.360535255767987,
NGEN,NervGen Pharma Corp.,Buy,Strong buy,Buy,50.288141413489186,0.7599999999999998,-0.7964558823529382,43.90758316556407,90.75441814957496,71.67632208145098,Marubozu White
LUCA,Luca Mining Corp,Neutral,Neutral,Neutral,45.37788104048608,-0.1100000000000001,0.005102941176470033,-127.01546561368902,13.008130081300804,17.073170731707325,Spinning Top Black
FTG,Firan Technology Group Corporation,Strong buy,Strong buy,Buy,74.0588165144076,4.470000000000002,1.9293823529411682,315.2393310265264,94.11500449236298,89.0902500583333,Marubozu White
PLZ.UN,Plaza Retail REIT,Buy,Strong buy,Buy,56.9434528179181,0.040000000000000036,-0.0019411764705914436,116.59614480489391,85.18518518518489,81.40432098765423,Hanging Man
DGS,Dividend Growth Split Corp. Class A,Strong buy,Strong buy,Buy,61.5657939592532,0.629999999999999,0.024323529411770295,42.18198190592734,76.76019453797228,62.508666736773336,
CNC,Canada Nickel Company Inc,Buy,Buy,Neutral,50.34663558651802,0.09999999999999987,-0.09583823529411761,-54.06105841496928,37.48910200523104,29.084491382878497,Long Lower Shadow
KBL,K-Bro Linen Inc.,Buy,Strong buy,Neutral,66.86048763805886,1.990000000000002,0.688102941176453,195.5217327674729,97.96607256837042,95.95661111861527,
HLF,High Liner Foods Incorporated,Buy,Buy,Sell,59.78425838038677,0.240000000000002,0.6564999999999905,51.68949771689546,78.97050147492632,82.17404129793515,Bearish Engulfing
FDR,"Founders Metals, Inc.",Sell,Sell,Neutral,49.32745311622734,0.5699999999999998,-0.7695735294117609,-22.77777777777791,26.906941266209003,12.28817584652825,Marubozu White
GGA,Goldgroup Mining Inc.,Sell,Sell,Sell,45.62404569510173,0.030000000000000027,-0.06583823529411692,-55.35632183908064,51.54761904761904,44.23690398836595,
SM,Sierra Madre Gold & Silver Ltd.,Buy,Buy,Neutral,50.74340859071325,0.19999999999999973,-0.08744117647058669,-45.59457794208271,33.449275362318815,30.754104188886775,
NOU,Nouveau Monde Graphite Inc,Sell,Strong sell,Neutral,38.69718373727647,0.26000000000000023,-0.6764117647058789,-59.02899056933312,28.358020425829114,23.761098459001996,
FC,Firm Capital Mortgage Investment Corporation,Buy,Strong buy,Neutral,62.00311254542353,0.11000000000000121,0.12285294117643275,165.3230140815418,91.44880174291926,92.02977487291197,Spinning Top White
LGN,Logan Energy Corp,Neutral,Sell,Buy,48.40002663673312,0.010000000000000009,-0.021191176470589324,-75.40983606557556,50.00000000000001,30.00000000000001,Bullish Engulfing
REAL,"Real Matters, Inc.",Strong sell,Strong sell,Sell,40.628591614484655,-1.0300000000000002,-0.44776470588236084,-101.66492907465573,2.544529262086486,6.191687871077163,
TNGD,Tiernan Gold Corp,Buy,Strong buy,Neutral,65.12397768387433,1.7400000000000002,1.3636764705882323,98.6870760998072,73.06273062730628,67.89667896678968,
GOLD,GoldMining Inc.,Buy,Strong buy,Neutral,50.71150745626638,0.27,-0.11585294117647127,-31.428506406317528,41.18298368298369,27.772610986896694,
CEI,"Coelacanth Energy, Inc.",Buy,Strong buy,Neutral,53.73565291685648,0.019999999999999907,0.00719117647058698,2.635046113313626,69.99999999999993,52.22222222222214,"Dragonfly Doji, Long Lower Shadow"
IPO,InPlay Oil Corp,Buy,Strong buy,Neutral,65.49502332708451,0.7199999999999989,1.0603823529411773,112.41065627030162,77.6666666666666,63.83333333333326,
MMY,Monument Mining Limited,Buy,Strong buy,Neutral,53.50065500240906,0.16999999999999993,-0.06686764705882253,3.2621589561091704,32.630654369784764,20.136144049187486,
TI,Titan Mining Corp.,Neutral,Sell,Buy,44.61949386208623,-0.28000000000000025,-0.5198382352941184,-87.98903942761483,15.48698399615357,10.960628460080935,
QTWO,Q2 Metals Corp,Buy,Strong buy,Neutral,53.4763443509898,0.19999999999999996,0.024632352941175384,-24.900807223969863,53.03030303030303,42.85714285714283,
CDPR,"Cerro de Pasco Resources, Inc.",Buy,Strong buy,Neutral,55.317329460177014,0.06999999999999995,0.008573529411764591,-21.03816471085745,46.45354645354644,33.24598107206803,
SAU,St. Augustine Gold & Copper Ltd.,Strong sell,Strong sell,Sell,33.30764315746471,-0.04999999999999999,-0.0817352941176469,-90.92248747421169,11.935064935064943,13.369301480412604,Inverted Hammer
CSW.A,Corby Spirit and Wine Limited Class A,Buy,Strong buy,Sell,60.43105787960365,0.5899999999999999,0.40505882352942457,109.88200589970339,86.39999999999993,89.19922027290447,"Long Upper Shadow, Shooting Star"
FLT,Volatus Aerospace Inc.,Buy,Strong buy,Neutral,54.54787385504918,0.10999999999999999,-0.011661764705881317,124.04214559386966,92.98245614035086,81.42150247413406,
GBT,BMTC Group Inc. Class A,Buy,Strong buy,Neutral,50.90835488203711,0.1999999999999993,-0.3766470588235258,8.345117756942305,69.32153392330389,55.80578442342253,
MRT.UN,Morguard Real Estate Investment Trust,Neutral,Sell,Neutral,37.917458529443266,-0.15999999999999925,-0.13825000000001886,-126.68048959937008,4.651162790697707,8.276751516484314,
PRV.UN,PRO Real Estate Investment Trust,Strong buy,Strong buy,Buy,53.12378802954156,0.04999999999999982,-0.04063235294117362,70.80066524111952,74.99999999999996,67.77777777777776,
PHX,PHX Energy Services Corp.,Buy,Strong buy,Buy,67.79662488896294,0.7300000000000004,0.6972058823529306,117.07922498793334,97.0350697356568,95.60425287781122,Long Lower Shadow
DC.A,Dundee Corporation Class A,Buy,Buy,Neutral,51.42404438216397,0.34000000000000075,0.17494117647058882,-11.992110453649286,55.53456148638011,49.083084028761895,
PZA,Pizza Pizza Royalty Corp.,Buy,Strong buy,Sell,55.63067983462259,-0.07000000000000028,0.20741176470586709,61.268556005396704,80.76923076923082,79.05982905982911,"Bearish Engulfing, Marubozu Black"
PTM,Platinum Group Metals Ltd.,Sell,Sell,Neutral,44.21039029305174,0.14000000000000012,-0.584014705882355,-60.52798265107815,21.865731340798263,14.88067915347405,
GOT,Goliath Resources Limited,Sell,Strong sell,Neutral,44.95385617235048,0.06000000000000005,-0.2523970588235289,-67.8037481575075,26.743589743589748,19.835682835682835,Long Lower Shadow
QBTC,Bitcoin Fund Trust Units A,Sell,Strong sell,Neutral,37.009224960866646,6.900000000000006,-18.803220588235234,-58.2011654192895,25.272798707876888,22.50739937896798,
SBC,Brompton Split Banc Corp. Class A,Buy,Strong buy,Buy,72.86863957599088,1.3200000000000003,0.9453823529411753,150.99933548024174,96.5714285714286,93.92063492063494,Long Lower Shadow
LA,Los Andes Copper Ltd.,Neutral,Sell,Buy,40.916339036738194,-5.0600000000000005,-0.7962352941176594,-148.92288992370433,12.245167731077837,9.696662599065961,Doji
EDT,Spectral Medical Inc,Buy,Strong buy,Buy,53.949172258065566,0.050000000000000044,-0.045132352941175125,117.64705882353019,72.22222222222223,52.77777777777778,
WGO,White Gold Corp.,Strong buy,Strong buy,Buy,63.19412527161019,0.43999999999999995,0.1148823529411771,86.59363588941025,86.9017094017094,71.43837156995052,
GRA,"NanoXplore, Inc.",Sell,Strong sell,Neutral,32.40973283948318,-0.16999999999999993,-0.2490588235294111,-159.91262861412923,10.714285714285708,9.76574500768048,
TSK,Talisker Resources Ltd.,Strong buy,Strong buy,Buy,60.333509395964256,0.5,0.12048529411764797,108.1094564593773,83.62783268443647,63.53646562038565,
KSI,"kneat.com, Inc.",Sell,Strong sell,Neutral,36.90547002064514,0.020000000000000462,-0.4742647058823497,-61.704990215263855,17.80330927480728,17.214329813872858,
SIG,Sitka Gold Corp.,Buy,Strong buy,Buy,60.13996589089436,0.13,-0.022529411764705798,142.7878787878808,53.53383458646618,40.95238095238098,Marubozu White
CPH,Cipher Pharmaceuticals Inc.,Strong buy,Strong buy,Buy,58.79244533911343,0.8100000000000005,-0.1348529411764794,185.7695282289194,40.375586854460146,33.719966859983465,
CUU,Copper Fox Metals Inc.,Neutral,Sell,Neutral,44.54786619125639,0.020000000000000018,-0.06376470588235283,-62.12018906144492,26.923076923076945,24.199069851243802,Marubozu Black
MFG,Mayfair Gold Corp.,Buy,Strong buy,Neutral,56.669437544746394,0.5999999999999996,-0.10705882352941742,9.689922480620389,48.73737373737373,33.393282417672665,
KRY,Koryx Copper Inc.,Strong buy,Strong buy,Neutral,60.07820166707527,0.3200000000000003,0.26438235294117707,95.21512637468653,72.6022126022126,67.53838753838754,
TBL,Taiga Building Products Ltd.,Buy,Buy,Neutral,50.89707681920336,-0.009999999999999787,-0.048000000000003595,-0.43601482450572965,54.666666666666636,44.88888888888888,
BTB.UN,BTB Real Estate Investment Trust,Strong buy,Strong buy,Buy,61.61947811202682,0.11000000000000032,0.016338235294113268,78.8254579146198,82.89473684210535,69.01220442410386,Marubozu White
URB,Urbana Corporation,Buy,Strong buy,Neutral,53.28317801217312,0.2599999999999998,-0.446558823529422,-0.222890894908165,51.5151515151515,44.44444444444443,Marubozu White
TAL,PetroTal Corp.,Buy,Buy,Buy,55.41773696944601,0.019999999999999962,0.0055367647058827685,136.56690746474004,68.4981684981685,59.18192918192921,
AAG,Aftermath Silver Ltd.,Strong buy,Strong buy,Neutral,54.899145234054814,0.14000000000000012,-0.14829411764705913,5.3846386544454825,37.373737373737406,17.90426790426792,
ENS,E Split Corp. Class A,Buy,Strong buy,Neutral,68.65797889715923,0.9499999999999993,1.1271176470588635,125.4447022428453,89.59898323089767,85.66846139902712,
TCS,TECSYS Inc.,Sell,Strong sell,Buy,39.85390032466853,-0.17999999999999972,-3.1591911764706104,-40.11673293030425,35.997267759562845,26.543103629560978,
DEFI,DeFi Technologies Inc,Sell,Strong sell,Neutral,37.52071411717108,-0.009999999999999898,-0.22254411764706006,-120.73556332168391,23.23076923076923,31.671274961597536,
BCM,Bear Creek Mining Corporation,Strong buy,Strong buy,Buy,67.28897597257517,0.27,0.07854411764705949,259.012016021361,84.3939393939394,64.09090909090911,
GO.U,GO Residential Real Estate Investment Trust,Sell,Sell,Neutral,45.099244111739125,-0.7000000000000011,-0.6819852941176485,-90.34907597536181,21.259842519684966,17.060367454068178,Marubozu White
PGDC,Patagonia Gold Corp,Neutral,Neutral,Neutral,47.09415538441214,0,-0.08172058823529393,-73.23301413588682,14.90414347557204,9.970728678075119,Long Upper Shadow
ANRG,"Anaergia, Inc.",Strong sell,Strong sell,Neutral,37.82747918683871,-0.06000000000000005,-0.30019117647058957,-84.61538461538511,14.689542483660114,17.833481877599514,Doji
ELO,Eloro Resources Ltd.,Strong buy,Strong buy,Neutral,54.95842061008078,0.5099999999999998,-0.14770588235294158,17.24342361569893,42.63565891472867,32.42894056847544,
VLN,Velan Inc.,Buy,Buy,Neutral,54.59814173273833,1.125,-0.19257352941175832,162.44624940277095,86.46621598896847,89.17015592931239,
RDS,Radisson Mining Resources Inc.,Strong buy,Strong buy,Buy,54.59266908301621,0.12,-0.042382352941176094,171.01449275362017,75.75757575757574,63.131313131313085,Marubozu White
MOON,Blue Moon Metals Inc,Buy,Strong buy,Neutral,51.628197479359876,0.5600000000000005,-0.4685882352941162,-29.25739810161891,24.25092811833144,15.594093172362058,
GASX,NG Energy International Corp,Buy,Strong buy,Neutral,67.4391330868373,0.18999999999999995,0.12322058823529392,176.3925729442975,88.8998357963875,89.530296580105,
SFR,Sandfire Resources America Inc.,Buy,Strong buy,Buy,52.815984042138595,0,-0.01789705882352932,-59.13043478260914,9.856209150326805,6.827886710239657,Marubozu White
