Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
FTS,Fortis Inc.,Buy,Strong buy,Sell,67.24945647117711,1.7299999999999898,4.046073529411586,105.99510193863607,86.74561297512123,89.99634704184349,Bearish Engulfing
WN,George Weston Limited,Neutral,Buy,Sell,50.88015041686194,-2.019999999999996,4.12369117647043,13.430702109948372,69.18921662219462,77.85157731871256,
PAAS,Pan American Silver Corp.,Strong buy,Strong buy,Buy,61.397883140736,16.840000000000003,0.6941470588235035,88.6179212914306,78.81097424619757,56.10966952674579,
PPL,Pembina Pipeline Corporation,Strong buy,Strong buy,Neutral,69.83089005806949,1.6599999999999966,3.9046911764706493,88.22872815410916,74.34521963824285,75.14162806949115,
H,Hydro One Limited,Buy,Strong buy,Neutral,65.74347576382971,1.1799999999999997,2.6082352941176765,119.3838190030798,79.51318458417846,82.95800825441471,
LUN,Lundin Mining Corporation,Strong buy,Strong buy,Buy,66.26083615930989,7.149999999999999,0.8699705882352831,234.59265967999409,75.27666965617588,56.5695381743011,Marubozu White
BCE,BCE Inc.,Buy,Strong buy,Neutral,60.117357110635176,0.259999999999998,0.8781176470587866,50.183863292230235,50.4672897196261,49.53271028037373,
FM,First Quantum Minerals Ltd.,Buy,Buy,Neutral,49.31183013763837,2.1300000000000026,-3.1471176470588134,-48.091266453386616,32.21881183950149,22.173032144694798,
WSP,WSP Global Inc,Sell,Strong sell,Neutral,32.42408076362243,-30.329999999999984,-33.835176470588294,-101.10517415226244,22.82737136104845,19.36119167830413,
T,TELUS Corporation,Sell,Strong sell,Neutral,45.737408908698235,-0.9499999999999993,-0.2644852941175202,-108.51722282024537,33.55408388520967,32.303164091243566,
RCI.A,Rogers Communications Inc. Class A,Strong buy,Strong buy,Buy,58.90371917749311,2.3900000000000006,1.586117647058856,113.01909414294073,81.2680115273775,82.88543067563238,"Hanging Man, Long Lower Shadow"
AGI,Alamos Gold Inc.,Strong buy,Strong buy,Buy,62.1063675220567,13.949999999999996,3.2565882352941316,138.99004935449273,90.09397874749011,82.75788259274096,
BBD.A,Bombardier Inc. Class A,Strong buy,Strong buy,Neutral,67.00208952315378,40.03,10.218117647058875,205.6643682755396,96.83752306715365,86.22465781938804,
RBA,"RB Global, Inc.",Sell,Strong sell,Neutral,38.89745408063217,-16.01000000000002,-10.129352941176307,-121.92164649027922,36.5282583621684,35.65936178392929,
LUG,Lundin Gold Inc.,Neutral,Sell,Buy,47.63807356614084,7.659999999999997,-6.267014705882346,-22.802224735476262,55.50543992562918,42.37336551300772,Spinning Top Black
MG,Magna International Inc.,Buy,Strong buy,Neutral,69.9821348506785,16.739999999999995,13.53644117647059,118.05233177538665,82.33471654200325,85.2779201730196,
TOU,Tourmaline Oil Corp.,Strong buy,Strong buy,Buy,57.03031066987778,0.7600000000000051,0.9965735294117692,69.7997022601161,56.34271022782685,38.824618878839225,Spinning Top Black
IVN,Ivanhoe Mines Ltd. Class A,Neutral,Sell,Buy,45.10661148859768,-0.3899999999999988,-0.7933088235293937,-132.79910023899998,17.671732565687353,17.06018746504611,Bullish Engulfing
GIB.A,CGI Inc. Class A,Sell,Strong sell,Neutral,27.810028928754647,-11.310000000000002,-16.687397058823876,-93.6562443520678,13.385224993671741,10.530407955262708,
EDV,Endeavour Mining PLC,Strong buy,Strong buy,Buy,61.15265897338084,13.280000000000001,5.807661764705884,132.1418130387719,89.44738409433837,76.87953452688541,
EMA,Emera Incorporated,Buy,Strong buy,Neutral,61.55455596727957,1.480000000000004,1.9604999999999961,121.42938431774405,79.53431372549012,82.4447881689673,Doji
GFL,GFL Environmental Inc,Sell,Strong sell,Neutral,47.020322005092765,0.5599999999999952,0.09751470588243905,-18.908598176886056,47.82196969696969,48.974116161616145,
MRU,Metro Inc.,Buy,Buy,Sell,53.015090347109314,1.4599999999999937,1.1466617647058115,67.54146978544404,89.1506345671156,93.44173898391266,
BNT,Brookfield Wealth Solutions Ltd. Class A,Sell,Sell,Neutral,48.18648867288225,2.8500000000000014,-0.07813235294118215,-6.695683074563083,66.44628099173546,74.89439853076212,Spinning Top White
AG,First Majestic Silver Corp.,Strong buy,Strong buy,Buy,65.72770444365433,9.920000000000002,1.6531323529411743,136.51959234335604,78.97311090358609,55.68965544886115,
GIL,Gildan Activewear Inc.,Buy,Strong buy,Buy,63.899940627120515,5.239999999999995,6.6200147058824825,60.6595262774005,81.02265092619253,84.35405042234028,Spinning Top White
IMG,IAMGOLD Corporation,Strong buy,Strong buy,Buy,59.77734289752951,5.810000000000002,2.6500147058823416,111.87561809337414,87.03557029402873,81.48113637998996,Spinning Top Black
SAP,Saputo Inc.,Neutral,Buy,Neutral,51.49695659118418,-0.5,0.6080588235293405,-1.4732007452549691,44.316844977426314,49.11850633685847,Spinning Top Black
WCP,Whitecap Resources Inc.,Buy,Strong buy,Neutral,68.22349241686132,1.3000000000000007,1.2482647058823382,140.43050684271844,89.08783307486254,89.12712361113712,
TIH,Toromont Industries Ltd.,Buy,Strong buy,Neutral,68.64086834559578,20.189999999999998,21.762529411764575,109.32425012331329,85.43879946120238,89.67894573642235,
ATRL,Atkinsrealis Group Inc.,Neutral,Neutral,Neutral,48.79232058958106,-4.530000000000001,-3.27077941176465,-50.37109205490652,31.09945609945612,23.497798497798517,
IGM,IGM Financial Inc.,Buy,Strong buy,Neutral,54.9530819808826,0.5999999999999943,0.006176470588258098,27.084753465120233,85.24229074889864,85.26676456191863,
CCL.A,CCL Industries Inc. Class A,Buy,Strong buy,Neutral,54.85356952104262,4.730000000000004,0.608676470588307,24.78138521589343,79.20792079207936,78.71441349742469,
ATZ,"Aritzia, Inc.",Buy,Strong buy,Neutral,64.68673985042277,17.709999999999994,3.3227647058823777,169.5688647725993,93.49269281263884,95.87038453959273,
