Symbol,Description,"Gross margin %, Trailing 12 months","Operating margin %, Trailing 12 months","Pretax margin %, Trailing 12 months","Net margin %, Trailing 12 months","Free cash flow margin %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Research & development ratio, Trailing 12 months","Selling, general & admin expenses ratio, Trailing 12 months"
FFOX,FireFox Gold Corp.,,,,,,-63.0868863328793,-73.4752289379903,-73.4752289379903,,
RBZ,Arya Resources Ltd,,,,,,-324.483153516967,,,,
EPIC,1CM Inc.,9.53987850051099,2.44361261623441,1.18832383463354,0.856050881840679,2.258313776559298,1.52690581967914,2.21572267518043,1.98136243094992,,7.096265884276605
USCU,US Copper Corp,,,,,,-146.535455885088,-162.83430102999,-162.83430102999,,
SLA,Silver Acadia Exploration Inc.,,,,,,-7.87760047014357,-9.06861886442395,-9.06861886442395,,
ELEC,Electric Royalties Ltd.,-144.838943254035,-582.029975816883,-2309.80681626455,-2249.18838929194,-1894.7507170575332,-32.0332859572746,-54.9374261967735,-32.4849886692066,,437.19103256284797
INIK,Ionik Corporation,30.3104258830615,5.31514525644269,-12.8460542976599,-12.6404537946814,9.970843903866621,-12.8060014842524,,-45.4744302157267,3.9054812452101566,21.089799381408724
KDSX,Kadestone Capital Corp.,,,,,,-27.0958412786917,-105.740142127356,-36.0439709853732,,
OTC,Ocumetics Technology Corp,,,,,,-192.076308053341,,,,
ESAF,Syntholene Energy Corp,,,,,,-585.831116691724,,,,
NSCI,Nanalysis Scientific Corp,17.9498850134151,-8.96655806822537,-28.8137217324645,-29.6593522422384,1.8038520505940971,-28.569780321211,-73.2256919801277,-45.9423355226539,1.1307014181678805,25.785741663472596
VPT,Ventripoint Diagnostics Ltd.,65.1283423677857,-2113.81303238737,-2359.34781123309,-2311.81729148636,-954.5164669976768,-741.446604911499,,,271.03698811096433,1907.9043866441943
MAX,MAX Resource Corp,,,,,,-17.3962958571209,-19.8416292058573,-19.7860576297922,,
AVCN,Avicanna Inc,50.7803021801723,-11.0382010533988,-7.36544117130814,-7.33486677308937,-7.00598901274974,-8.98071442772881,-77.4902615989065,-77.4902615989065,0.8066149897233544,61.01188824384776
VLTA,Volta Metals Ltd,,,,,,-47.1035870781598,-57.0626569266029,-57.0626569266029,,
MGMA,Magma Silver Corp.,,,,,,-345.958223132196,-2120.4507694142,-2120.4507694142,,
GWAY,Greenway Greenhouse Cannabis Corp.,24.5597678347179,0.0744898279962161,-8.90185944479728,-8.90185944479728,-5.707105003593901,-2.33832691175282,-7.4277508988288,-3.26235155970372,0.5737950386914561,23.911482968030235
TORR,Torrent Capital Ltd,,291.159466894154,290.703704382511,244.598945984628,-35.666240684060305,27.6372913829232,28.6440761304764,28.6440761304764,,
AUX,Golden Cross Resources Inc.,,,,,,-106.729845503673,-128.247344310801,-128.247344310801,,
REKO,Reko Manufacturing Group Inc.,16.4421011521187,1.1447959382933,1.88195664909197,3.27328646748682,5.548232767037688,2.41515006888851,3.19300919091385,2.73793603315741,,15.297305213825425
HEAT,Hillcrest Energy Technologies Ltd.,,,,,,-271.697047903738,,,,
BAR,Barranco Gold Mining Corp.,,,,,,,,,,
BMR,Battery Mineral Resources Corp,24.8932309766202,-2.79765827334728,-82.2534552968921,-83.1154682593274,4.549643962548075,-43.8791426821824,-284.641590984515,-170.259480103598,,27.69088924996752
SWA,Sarama Resources Ltd.,,,,,,-265.58830600592,-1156.2228313318,-1156.2228313318,,
YEG,Yorkton Equity Group Inc,58.0758693315946,47.0650389004317,64.0519041305625,52.1434235009192,11.037829495025285,3.90658664702923,17.7396985805507,4.37148120534651,,
BEX,"Benton Resources, Inc.",,,,,,3.20534604049896,3.31325279903799,3.31325279903799,,
FGX,Faircourt Gold Income Corp. Class A,89.9567338073954,258.808149106685,254.240104609721,254.240104609721,12.481519205543085,43.6737624691394,51.3702687145915,51.3702687145915,,
TRO,Taranis Resources Inc.,,,,,,-7.44072991134225,-8.55874481682348,-8.55874481682348,,
BR,Big Rock Brewery Inc.,26.3997765571176,-4.0610743878596,-17.7674331998883,-17.7674331998883,-12.59100642398287,-19.9955993755304,-42.7480232063257,-31.7997767150451,,30.460850944977192
